feature_index,feature_name,importance_score
0,High_0,23.635
1,Low_0,23.333
2,Open_0,41.596
3,Volume_0,49.997
4,daily_return_0,23.121
5,log_return_0,23.69
6,volume_change_0,42.825
7,relative_volume_0,43.574
8,high_low_range_0,23.309
9,excess_return_0,23.224
10,daily_return_zscore_0,43.547
11,log_return_zscore_0,23.733
12,volume_change_zscore_0,43.507
13,relative_volume_zscore_0,23.779
14,log_volume_0,44.07
15,Close_1,23.501
16,High_1,35.566
17,Low_1,23.142
18,Open_1,42.097
19,Volume_1,44.643
20,daily_return_1,23.764
21,log_return_1,23.465
22,volume_change_1,23.652
23,relative_volume_1,35.04
24,high_low_range_1,22.944
25,excess_return_1,23.665
26,daily_return_zscore_1,23.759
27,log_return_zscore_1,23.776
28,volume_change_zscore_1,35.613
29,relative_volume_zscore_1,35.818
30,log_volume_1,23.535
31,Close_2,35.642
32,High_2,23.148
33,Low_2,23.41
34,Open_2,35.787
35,Volume_2,43.179
36,daily_return_2,35.246
37,log_return_2,35.488
38,volume_change_2,23.364
39,relative_volume_2,35.491
40,high_low_range_2,23.183
41,excess_return_2,23.098
42,daily_return_zscore_2,35.557
43,log_return_zscore_2,42.338
44,volume_change_zscore_2,35.217
45,relative_volume_zscore_2,22.775
46,log_volume_2,35.565
