feature_index,feature_name,importance_score
0,High_0,23.023
1,Low_0,23.056
2,Open_0,23.365
3,Volume_0,49.426
4,daily_return_0,35.374
5,log_return_0,23.04
6,volume_change_0,23.465
7,relative_volume_0,23.581
8,high_low_range_0,23.411
9,excess_return_0,42.288
10,daily_return_zscore_0,35.531
11,log_return_zscore_0,42.113
12,volume_change_zscore_0,35.61
13,relative_volume_zscore_0,35.136
14,log_volume_0,43.321
15,Close_1,23.428
16,High_1,41.463
17,Low_1,35.609
18,Open_1,23.47
19,Volume_1,43.638
20,daily_return_1,42.415
21,log_return_1,35.302
22,volume_change_1,41.795
23,relative_volume_1,23.59
24,high_low_range_1,22.731
25,excess_return_1,23.603
26,daily_return_zscore_1,23.642
27,log_return_zscore_1,23.51
28,volume_change_zscore_1,35.582
29,relative_volume_zscore_1,23.427
30,log_volume_1,42.223
31,Close_2,35.437
32,High_2,35.449
33,Low_2,35.343
34,Open_2,35.562
35,Volume_2,42.858
36,daily_return_2,35.654
37,log_return_2,22.961
38,volume_change_2,23.182
39,relative_volume_2,23.044
40,high_low_range_2,23.181
41,excess_return_2,23.021
42,daily_return_zscore_2,23.145
43,log_return_zscore_2,23.585
44,volume_change_zscore_2,23.628
45,relative_volume_zscore_2,23.368
46,log_volume_2,43.278
