feature_index,feature_name,importance_score
0,High_0,23.806
1,Low_0,22.737
2,Open_0,24.018
3,Volume_0,456.426
4,daily_return_0,35.713
5,log_return_0,35.806
6,volume_change_0,35.532
7,relative_volume_0,36.06
8,high_low_range_0,35.883
9,excess_return_0,42.397
10,daily_return_zscore_0,23.986
11,log_return_zscore_0,23.42
12,volume_change_zscore_0,42.517
13,relative_volume_zscore_0,22.981
14,log_volume_0,23.659
15,Close_1,24.067
16,High_1,23.767
17,Low_1,35.502
18,Open_1,23.512
19,Volume_1,457.023
20,daily_return_1,42.434
21,log_return_1,42.36
22,volume_change_1,35.959
23,relative_volume_1,35.733
24,high_low_range_1,23.668
25,excess_return_1,23.682
26,daily_return_zscore_1,23.136
27,log_return_zscore_1,23.471
28,volume_change_zscore_1,42.468
29,relative_volume_zscore_1,42.426
30,log_volume_1,42.663
31,Close_2,35.982
32,High_2,36.02
33,Low_2,24.053
34,Open_2,22.887
35,Volume_2,23.753
36,daily_return_2,23.834
37,log_return_2,23.783
38,volume_change_2,23.421
39,relative_volume_2,36.053
40,high_low_range_2,23.707
41,excess_return_2,42.669
42,daily_return_zscore_2,23.959
43,log_return_zscore_2,23.811
44,volume_change_zscore_2,35.811
45,relative_volume_zscore_2,23.646
46,log_volume_2,41.723
