feature_index,feature_name,importance_score
0,High_0,35.517
1,Low_0,23.589
2,Open_0,23.862
3,Volume_0,43.136
4,daily_return_0,23.881
5,log_return_0,23.856
6,volume_change_0,23.693
7,relative_volume_0,35.886
8,high_low_range_0,35.666
9,excess_return_0,23.512
10,daily_return_zscore_0,48.12
11,log_return_zscore_0,23.258
12,volume_change_zscore_0,23.378
13,relative_volume_zscore_0,35.803
14,log_volume_0,35.888
15,Close_1,35.683
16,High_1,35.509
17,Low_1,23.183
18,Open_1,42.252
19,Volume_1,47.916
20,daily_return_1,23.317
21,log_return_1,23.67
22,volume_change_1,23.704
23,relative_volume_1,23.539
24,high_low_range_1,35.91
25,excess_return_1,23.331
26,daily_return_zscore_1,35.538
27,log_return_zscore_1,35.602
28,volume_change_zscore_1,45.642
29,relative_volume_zscore_1,23.974
30,log_volume_1,23.753
31,Close_2,23.065
32,High_2,41.648
33,Low_2,23.957
34,Open_2,23.395
35,Volume_2,52.086
36,daily_return_2,23.129
37,log_return_2,22.761
38,volume_change_2,42.292
39,relative_volume_2,23.623
40,high_low_range_2,22.961
41,excess_return_2,34.963
42,daily_return_zscore_2,42.372
43,log_return_zscore_2,23.489
44,volume_change_zscore_2,47.568
45,relative_volume_zscore_2,35.865
46,log_volume_2,42.414
