feature_index,feature_name,importance_score
0,High_0,23.322
1,Low_0,23.429
2,Open_0,23.278
3,Volume_0,43.338
4,daily_return_0,23.042
5,log_return_0,35.632
6,volume_change_0,35.706
7,relative_volume_0,22.456
8,high_low_range_0,22.919
9,excess_return_0,23.132
10,daily_return_zscore_0,23.75
11,log_return_zscore_0,41.556
12,volume_change_zscore_0,23.132
13,relative_volume_zscore_0,23.635
14,log_volume_0,35.775
15,Close_1,42.14
16,High_1,35.678
17,Low_1,23.099
18,Open_1,42.151
19,Volume_1,45.849
20,daily_return_1,23.402
21,log_return_1,22.626
22,volume_change_1,42.365
23,relative_volume_1,35.864
24,high_low_range_1,23.791
25,excess_return_1,23.722
26,daily_return_zscore_1,23.733
27,log_return_zscore_1,23.791
28,volume_change_zscore_1,44.493
29,relative_volume_zscore_1,23.7
30,log_volume_1,23.252
31,Close_2,23.655
32,High_2,35.695
33,Low_2,35.553
34,Open_2,23.205
35,Volume_2,49.8
36,daily_return_2,35.192
37,log_return_2,23.767
38,volume_change_2,44.482
39,relative_volume_2,42.637
40,high_low_range_2,35.494
41,excess_return_2,23.37
42,daily_return_zscore_2,35.818
43,log_return_zscore_2,42.982
44,volume_change_zscore_2,35.418
45,relative_volume_zscore_2,35.773
46,log_volume_2,23.432
