feature_index,feature_name,importance_score
0,high_std_0,21.742
1,low_std_0,22.745
2,close_std_0,49.05
3,daily_return_std_0,18.793
4,log_return_std_0,19.017
5,volume_change_std_0,21.563
6,relative_volume_std_0,39.179
7,log_volume_0,18.331
8,high_low_range_std_0,19.777
9,excess_return_std_0,22.409
10,open_std_1,20.514
11,high_std_1,48.393
12,low_std_1,43.086
13,close_std_1,144.257
14,daily_return_std_1,22.888
15,log_return_std_1,21.465
16,volume_change_std_1,52.453
17,relative_volume_std_1,38.148
18,log_volume_1,21.429
19,high_low_range_std_1,57.983
20,excess_return_std_1,21.119
21,open_std_2,53.201
22,high_std_2,71.835
23,low_std_2,38.008
24,close_std_2,21.299
25,daily_return_std_2,19.288
26,log_return_std_2,30.854
27,volume_change_std_2,28.632
28,relative_volume_std_2,30.712
29,log_volume_2,20.736
30,high_low_range_std_2,70.214
31,excess_return_std_2,35.018
