feature_index,feature_name,importance_score
0,High_0,23.206
1,Low_0,23.696
2,Open_0,23.851
3,Volume_0,44.795
4,daily_return_0,23.41
5,log_return_0,23.518
6,volume_change_0,23.376
7,relative_volume_0,23.808
8,high_low_range_0,23.565
9,excess_return_0,23.052
10,daily_return_zscore_0,52.783
11,log_return_zscore_0,35.66
12,volume_change_zscore_0,35.597
13,relative_volume_zscore_0,35.82
14,log_volume_0,50.986
15,Close_1,23.407
16,High_1,23.22
17,Low_1,35.667
18,Open_1,35.058
19,Volume_1,45.533
20,daily_return_1,41.548
21,log_return_1,23.511
22,volume_change_1,23.908
23,relative_volume_1,35.492
24,high_low_range_1,23.356
25,excess_return_1,42.319
26,daily_return_zscore_1,35.762
27,log_return_zscore_1,35.319
28,volume_change_zscore_1,35.628
29,relative_volume_zscore_1,43.332
30,log_volume_1,48.938
31,Close_2,23.801
32,High_2,23.385
33,Low_2,23.626
34,Open_2,35.656
35,Volume_2,51.683
36,daily_return_2,23.349
37,log_return_2,23.58
38,volume_change_2,55.591
39,relative_volume_2,35.717
40,high_low_range_2,22.961
41,excess_return_2,35.739
42,daily_return_zscore_2,23.84
43,log_return_zscore_2,23.682
44,volume_change_zscore_2,55.781
45,relative_volume_zscore_2,23.593
46,log_volume_2,23.773
