feature_index,feature_name,importance_score
0,High_0,23.414
1,Low_0,23.617
2,Open_0,23.207
3,Volume_0,45.753
4,daily_return_0,23.493
5,log_return_0,23.595
6,volume_change_0,35.527
7,relative_volume_0,23.367
8,high_low_range_0,23.178
9,excess_return_0,23.134
10,daily_return_zscore_0,23.628
11,log_return_zscore_0,35.388
12,volume_change_zscore_0,42.524
13,relative_volume_zscore_0,42.253
14,log_volume_0,22.404
15,Close_1,23.515
16,High_1,35.722
17,Low_1,35.166
18,Open_1,35.818
19,Volume_1,44.144
20,daily_return_1,35.582
21,log_return_1,23.626
22,volume_change_1,23.51
23,relative_volume_1,35.796
24,high_low_range_1,35.729
25,excess_return_1,35.647
26,daily_return_zscore_1,23.269
27,log_return_zscore_1,42.272
28,volume_change_zscore_1,23.312
29,relative_volume_zscore_1,23.612
30,log_volume_1,22.982
31,Close_2,35.706
32,High_2,35.522
33,Low_2,23.002
34,Open_2,23.638
35,Volume_2,50.057
36,daily_return_2,23.58
37,log_return_2,23.272
38,volume_change_2,23.544
39,relative_volume_2,35.201
40,high_low_range_2,42.276
41,excess_return_2,41.768
42,daily_return_zscore_2,22.969
43,log_return_zscore_2,23.064
44,volume_change_zscore_2,42.722
45,relative_volume_zscore_2,42.225
46,log_volume_2,42.282
