feature_index,feature_name,importance_score
0,High_0,23.685
1,Low_0,23.591
2,Open_0,35.886
3,Volume_0,43.81
4,daily_return_0,35.627
5,log_return_0,23.575
6,volume_change_0,22.641
7,relative_volume_0,23.128
8,high_low_range_0,23.522
9,excess_return_0,23.294
10,daily_return_zscore_0,23.318
11,log_return_zscore_0,23.6
12,volume_change_zscore_0,42.295
13,relative_volume_zscore_0,23.193
14,log_volume_0,35.456
15,Close_1,35.587
16,High_1,35.579
17,Low_1,23.703
18,Open_1,23.114
19,Volume_1,43.605
20,daily_return_1,23.708
21,log_return_1,35.587
22,volume_change_1,23.162
23,relative_volume_1,35.629
24,high_low_range_1,23.706
25,excess_return_1,35.662
26,daily_return_zscore_1,43.829
27,log_return_zscore_1,44.393
28,volume_change_zscore_1,35.885
29,relative_volume_zscore_1,42.988
30,log_volume_1,42.224
31,Close_2,35.9
32,High_2,35.594
33,Low_2,23.461
34,Open_2,23.286
35,Volume_2,49.517
36,daily_return_2,35.46
37,log_return_2,23.57
38,volume_change_2,23.253
39,relative_volume_2,43.325
40,high_low_range_2,23.486
41,excess_return_2,23.566
42,daily_return_zscore_2,23.328
43,log_return_zscore_2,23.173
44,volume_change_zscore_2,44.323
45,relative_volume_zscore_2,43.062
46,log_volume_2,23.692
