feature_index,feature_name,importance_score
0,high_std_0,44.03
1,low_std_0,19.7
2,close_std_0,19.355
3,daily_return_std_0,19.567
4,log_return_std_0,18.659
5,volume_change_std_0,17.773
6,relative_volume_std_0,17.74
7,log_volume_0,18.406
8,high_low_range_std_0,20.517
9,excess_return_std_0,19.281
10,open_std_1,33.753
11,high_std_1,17.55
12,low_std_1,51.286
13,close_std_1,18.785
14,daily_return_std_1,40.836
15,log_return_std_1,23.402
16,volume_change_std_1,68.813
17,relative_volume_std_1,31.326
18,log_volume_1,19.614
19,high_low_range_std_1,38.685
20,excess_return_std_1,33.577
21,open_std_2,21.163
22,high_std_2,39.778
23,low_std_2,20.441
24,close_std_2,21.524
25,daily_return_std_2,33.479
26,log_return_std_2,32.707
27,volume_change_std_2,83.123
28,relative_volume_std_2,65.616
29,log_volume_2,41.381
30,high_low_range_std_2,54.193
31,excess_return_std_2,30.309
