feature_index,feature_name,importance_score
0,high_std_0,36.462
1,low_std_0,47.232
2,close_std_0,21.374
3,daily_return_std_0,18.685
4,log_return_std_0,18.152
5,volume_change_std_0,18.337
6,relative_volume_std_0,17.735
7,log_volume_0,23.65
8,high_low_range_std_0,18.55
9,excess_return_std_0,19.026
10,open_std_1,47.687
11,high_std_1,219.734
12,low_std_1,23.285
13,close_std_1,31.853
14,daily_return_std_1,60.172
15,log_return_std_1,34.969
16,volume_change_std_1,57.874
17,relative_volume_std_1,114.711
18,log_volume_1,22.99
19,high_low_range_std_1,34.929
20,excess_return_std_1,27.715
21,open_std_2,116.599
22,high_std_2,59.543
23,low_std_2,79.893
24,close_std_2,20.871
25,daily_return_std_2,18.201
26,log_return_std_2,18.903
27,volume_change_std_2,21.686
28,relative_volume_std_2,36.022
29,log_volume_2,18.874
30,high_low_range_std_2,17.78
31,excess_return_std_2,46.483
