feature_index,feature_name,importance_score
0,High_0,35.977
1,Low_0,35.813
2,Open_0,35.983
3,Volume_0,57.385
4,daily_return_0,23.168
5,log_return_0,41.841
6,volume_change_0,23.497
7,relative_volume_0,35.643
8,high_low_range_0,23.696
9,excess_return_0,35.938
10,daily_return_zscore_0,35.71
11,log_return_zscore_0,23.588
12,volume_change_zscore_0,23.358
13,relative_volume_zscore_0,42.787
14,log_volume_0,23.813
15,Close_1,36.094
16,High_1,42.408
17,Low_1,35.949
18,Open_1,42.604
19,Volume_1,64.721
20,daily_return_1,23.615
21,log_return_1,47.782
22,volume_change_1,24.176
23,relative_volume_1,35.967
24,high_low_range_1,47.674
25,excess_return_1,23.964
26,daily_return_zscore_1,23.113
27,log_return_zscore_1,23.948
28,volume_change_zscore_1,24.158
29,relative_volume_zscore_1,23.407
30,log_volume_1,35.911
31,Close_2,23.154
32,High_2,23.513
33,Low_2,23.723
34,Open_2,23.661
35,Volume_2,47.518
36,daily_return_2,36.027
37,log_return_2,23.723
38,volume_change_2,24.227
39,relative_volume_2,24.075
40,high_low_range_2,23.63
41,excess_return_2,42.431
42,daily_return_zscore_2,42.775
43,log_return_zscore_2,35.821
44,volume_change_zscore_2,23.227
45,relative_volume_zscore_2,23.954
46,log_volume_2,23.362
