feature_index,feature_name,importance_score
0,High_0,35.821
1,Low_0,35.793
2,Open_0,42.153
3,Volume_0,44.109
4,daily_return_0,23.851
5,log_return_0,23.568
6,volume_change_0,23.877
7,relative_volume_0,35.612
8,high_low_range_0,35.661
9,excess_return_0,23.594
10,daily_return_zscore_0,23.669
11,log_return_zscore_0,23.226
12,volume_change_zscore_0,23.658
13,relative_volume_zscore_0,23.401
14,log_volume_0,23.662
15,Close_1,42.332
16,High_1,23.733
17,Low_1,35.815
18,Open_1,23.876
19,Volume_1,50.53
20,daily_return_1,42.119
21,log_return_1,35.83
22,volume_change_1,23.635
23,relative_volume_1,35.693
24,high_low_range_1,23.256
25,excess_return_1,23.736
26,daily_return_zscore_1,35.896
27,log_return_zscore_1,23.817
28,volume_change_zscore_1,35.523
29,relative_volume_zscore_1,43.124
30,log_volume_1,35.443
31,Close_2,23.798
32,High_2,23.826
33,Low_2,23.127
34,Open_2,23.156
35,Volume_2,54.79
36,daily_return_2,42.286
37,log_return_2,23.483
38,volume_change_2,23.394
39,relative_volume_2,23.342
40,high_low_range_2,41.554
41,excess_return_2,23.544
42,daily_return_zscore_2,42.34
43,log_return_zscore_2,23.888
44,volume_change_zscore_2,43.289
45,relative_volume_zscore_2,35.527
46,log_volume_2,35.459
