feature_index,feature_name,importance_score
0,high_std_0,24.287
1,low_std_0,51.46
2,close_std_0,50.965
3,daily_return_std_0,33.468
4,log_return_std_0,56.097
5,volume_change_std_0,107.029
6,relative_volume_std_0,39.021
7,log_volume_0,18.175
8,high_low_range_std_0,63.443
9,excess_return_std_0,31.006
10,open_std_1,69.085
11,high_std_1,110.14
12,low_std_1,23.961
13,close_std_1,21.854
14,daily_return_std_1,18.713
15,log_return_std_1,20.5
16,volume_change_std_1,18.128
17,relative_volume_std_1,20.63
18,log_volume_1,18.271
19,high_low_range_std_1,31.57
20,excess_return_std_1,20.809
21,open_std_2,34.554
22,high_std_2,45.014
23,low_std_2,137.419
24,close_std_2,85.718
25,daily_return_std_2,19.4
26,log_return_std_2,21.661
27,volume_change_std_2,19.621
28,relative_volume_std_2,24.008
29,log_volume_2,19.94
30,high_low_range_std_2,37.069
31,excess_return_std_2,19.881
