feature_index,feature_name,importance_score
0,High_0,23.719
1,Low_0,23.219
2,Open_0,35.535
3,Volume_0,53.094
4,daily_return_0,23.286
5,log_return_0,23.223
6,volume_change_0,42.471
7,relative_volume_0,23.658
8,high_low_range_0,35.582
9,excess_return_0,35.645
10,daily_return_zscore_0,23.604
11,log_return_zscore_0,22.924
12,volume_change_zscore_0,35.825
13,relative_volume_zscore_0,35.202
14,log_volume_0,35.797
15,Close_1,23.376
16,High_1,23.706
17,Low_1,22.929
18,Open_1,23.612
19,Volume_1,46.173
20,daily_return_1,42.24
21,log_return_1,23.384
22,volume_change_1,42.295
23,relative_volume_1,23.619
24,high_low_range_1,23.702
25,excess_return_1,23.241
26,daily_return_zscore_1,23.635
27,log_return_zscore_1,23.237
28,volume_change_zscore_1,35.641
29,relative_volume_zscore_1,42.27
30,log_volume_1,42.729
31,Close_2,35.734
32,High_2,22.905
33,Low_2,23.697
34,Open_2,23.454
35,Volume_2,44.136
36,daily_return_2,35.473
37,log_return_2,41.534
38,volume_change_2,23.669
39,relative_volume_2,23.537
40,high_low_range_2,23.327
41,excess_return_2,35.48
42,daily_return_zscore_2,42.007
43,log_return_zscore_2,35.651
44,volume_change_zscore_2,23.122
45,relative_volume_zscore_2,35.566
46,log_volume_2,41.932
