feature_index,feature_name,importance_score
0,High_0,42.498
1,Low_0,22.999
2,Open_0,41.734
3,Volume_0,47.165
4,daily_return_0,35.819
5,log_return_0,42.46
6,volume_change_0,23.958
7,relative_volume_0,35.67
8,high_low_range_0,23.42
9,excess_return_0,35.969
10,daily_return_zscore_0,23.027
11,log_return_zscore_0,23.898
12,volume_change_zscore_0,23.139
13,relative_volume_zscore_0,42.59
14,log_volume_0,23.766
15,Close_1,42.17
16,High_1,35.843
17,Low_1,23.528
18,Open_1,23.046
19,Volume_1,304.86
20,daily_return_1,23.57
21,log_return_1,23.581
22,volume_change_1,42.544
23,relative_volume_1,35.14
24,high_low_range_1,23.394
25,excess_return_1,24.152
26,daily_return_zscore_1,23.544
27,log_return_zscore_1,36.043
28,volume_change_zscore_1,42.221
29,relative_volume_zscore_1,42.478
30,log_volume_1,24.087
31,Close_2,23.805
32,High_2,23.843
33,Low_2,35.884
34,Open_2,24.156
35,Volume_2,300.229
36,daily_return_2,23.619
37,log_return_2,35.92
38,volume_change_2,35.895
39,relative_volume_2,23.758
40,high_low_range_2,35.575
41,excess_return_2,23.683
42,daily_return_zscore_2,36.036
43,log_return_zscore_2,23.947
44,volume_change_zscore_2,36.08
45,relative_volume_zscore_2,23.494
46,log_volume_2,23.255
