feature_index,feature_name,importance_score
0,High_0,42.867
1,Low_0,23.642
2,Open_0,23.733
3,Volume_0,52.099
4,daily_return_0,35.721
5,log_return_0,42.39
6,volume_change_0,23.445
7,relative_volume_0,42.552
8,high_low_range_0,23.554
9,excess_return_0,23.673
10,daily_return_zscore_0,23.766
11,log_return_zscore_0,35.57
12,volume_change_zscore_0,23.502
13,relative_volume_zscore_0,35.886
14,log_volume_0,41.609
15,Close_1,23.217
16,High_1,23.372
17,Low_1,44.139
18,Open_1,35.484
19,Volume_1,59.728
20,daily_return_1,35.825
21,log_return_1,23.83
22,volume_change_1,23.493
23,relative_volume_1,35.82
24,high_low_range_1,35.586
25,excess_return_1,23.404
26,daily_return_zscore_1,23.864
27,log_return_zscore_1,35.865
28,volume_change_zscore_1,22.975
29,relative_volume_zscore_1,23.297
30,log_volume_1,23.166
31,Close_2,23.314
32,High_2,49.677
33,Low_2,23.352
34,Open_2,47.242
35,Volume_2,73.224
36,daily_return_2,35.777
37,log_return_2,23.832
38,volume_change_2,23.683
39,relative_volume_2,35.692
40,high_low_range_2,23.269
41,excess_return_2,35.625
42,daily_return_zscore_2,23.756
43,log_return_zscore_2,35.618
44,volume_change_zscore_2,22.992
45,relative_volume_zscore_2,23.81
46,log_volume_2,42.297
