feature_index,feature_name,importance_score
0,High_0,22.768
1,Low_0,42.125
2,Open_0,23.507
3,Volume_0,43.139
4,daily_return_0,23.465
5,log_return_0,23.526
6,volume_change_0,23.423
7,relative_volume_0,23.055
8,high_low_range_0,23.24
9,excess_return_0,23.024
10,daily_return_zscore_0,42.102
11,log_return_zscore_0,35.439
12,volume_change_zscore_0,35.767
13,relative_volume_zscore_0,23.32
14,log_volume_0,35.769
15,Close_1,35.774
16,High_1,35.771
17,Low_1,23.547
18,Open_1,22.915
19,Volume_1,43.269
20,daily_return_1,23.213
21,log_return_1,23.728
22,volume_change_1,23.332
23,relative_volume_1,23.113
24,high_low_range_1,42.036
25,excess_return_1,23.756
26,daily_return_zscore_1,35.595
27,log_return_zscore_1,23.593
28,volume_change_zscore_1,22.964
29,relative_volume_zscore_1,42.338
30,log_volume_1,35.333
31,Close_2,23.493
32,High_2,23.503
33,Low_2,41.344
34,Open_2,35.659
35,Volume_2,49.234
36,daily_return_2,35.547
37,log_return_2,35.503
38,volume_change_2,42.521
39,relative_volume_2,42.311
40,high_low_range_2,23.074
41,excess_return_2,23.157
42,daily_return_zscore_2,42.798
43,log_return_zscore_2,23.164
44,volume_change_zscore_2,35.529
45,relative_volume_zscore_2,35.64
46,log_volume_2,23.515
