feature_index,feature_name,importance_score
0,High_0,23.046
1,Low_0,23.341
2,Open_0,42.293
3,Volume_0,44.508
4,daily_return_0,42.109
5,log_return_0,22.841
6,volume_change_0,35.424
7,relative_volume_0,22.898
8,high_low_range_0,42.31
9,excess_return_0,22.769
10,daily_return_zscore_0,23.224
11,log_return_zscore_0,23.576
12,volume_change_zscore_0,41.856
13,relative_volume_zscore_0,23.131
14,log_volume_0,35.582
15,Close_1,42.113
16,High_1,35.275
17,Low_1,35.618
18,Open_1,22.806
19,Volume_1,42.235
20,daily_return_1,23.504
21,log_return_1,35.581
22,volume_change_1,23.117
23,relative_volume_1,35.66
24,high_low_range_1,23.471
25,excess_return_1,35.612
26,daily_return_zscore_1,22.928
27,log_return_zscore_1,23.394
28,volume_change_zscore_1,23.567
29,relative_volume_zscore_1,23.071
30,log_volume_1,23.184
31,Close_2,42.255
32,High_2,22.911
33,Low_2,42.168
34,Open_2,35.534
35,Volume_2,49.949
36,daily_return_2,22.957
37,log_return_2,41.519
38,volume_change_2,23.495
39,relative_volume_2,35.521
40,high_low_range_2,35.669
41,excess_return_2,23.066
42,daily_return_zscore_2,23.539
43,log_return_zscore_2,23.139
44,volume_change_zscore_2,35.493
45,relative_volume_zscore_2,35.298
46,log_volume_2,23.035
