feature_index,feature_name,importance_score
0,High_0,23.541
1,Low_0,35.512
2,Open_0,23.364
3,Volume_0,45.106
4,daily_return_0,23.417
5,log_return_0,23.5
6,volume_change_0,22.769
7,relative_volume_0,22.918
8,high_low_range_0,35.873
9,excess_return_0,23.665
10,daily_return_zscore_0,42.782
11,log_return_zscore_0,23.913
12,volume_change_zscore_0,44.905
13,relative_volume_zscore_0,42.772
14,log_volume_0,35.963
15,Close_1,35.6
16,High_1,35.943
17,Low_1,23.826
18,Open_1,23.08
19,Volume_1,46.192
20,daily_return_1,23.3
21,log_return_1,23.39
22,volume_change_1,42.228
23,relative_volume_1,35.978
24,high_low_range_1,23.192
25,excess_return_1,35.782
26,daily_return_zscore_1,23.893
27,log_return_zscore_1,23.593
28,volume_change_zscore_1,23.192
29,relative_volume_zscore_1,23.283
30,log_volume_1,45.042
31,Close_2,23.837
32,High_2,22.976
33,Low_2,35.655
34,Open_2,36.017
35,Volume_2,49.971
36,daily_return_2,23.831
37,log_return_2,23.63
38,volume_change_2,51.641
39,relative_volume_2,23.686
40,high_low_range_2,35.809
41,excess_return_2,35.982
42,daily_return_zscore_2,50.273
43,log_return_zscore_2,23.705
44,volume_change_zscore_2,35.668
45,relative_volume_zscore_2,23.259
46,log_volume_2,44.794
