feature_index,feature_name,importance_score
0,High_0,42.635
1,Low_0,36.095
2,Open_0,23.777
3,Volume_0,151.274
4,daily_return_0,23.864
5,log_return_0,36.019
6,volume_change_0,36.246
7,relative_volume_0,35.962
8,high_low_range_0,24.178
9,excess_return_0,42.602
10,daily_return_zscore_0,42.514
11,log_return_zscore_0,23.958
12,volume_change_zscore_0,23.782
13,relative_volume_zscore_0,24.145
14,log_volume_0,23.662
15,Close_1,23.581
16,High_1,23.961
17,Low_1,23.725
18,Open_1,36.082
19,Volume_1,67.013
20,daily_return_1,35.569
21,log_return_1,42.445
22,volume_change_1,35.907
23,relative_volume_1,23.806
24,high_low_range_1,23.875
25,excess_return_1,23.447
26,daily_return_zscore_1,42.691
27,log_return_zscore_1,42.609
28,volume_change_zscore_1,23.957
29,relative_volume_zscore_1,23.746
30,log_volume_1,23.237
31,Close_2,24.082
32,High_2,35.844
33,Low_2,36.197
34,Open_2,23.506
35,Volume_2,135.836
36,daily_return_2,35.689
37,log_return_2,24.14
38,volume_change_2,36.17
39,relative_volume_2,35.768
40,high_low_range_2,23.767
41,excess_return_2,24.152
42,daily_return_zscore_2,23.534
43,log_return_zscore_2,41.811
44,volume_change_zscore_2,42.737
45,relative_volume_zscore_2,23.719
46,log_volume_2,24.013
