feature_index,feature_name,importance_score
0,High_0,23.845
1,Low_0,24.05
2,Open_0,23.764
3,Volume_0,45.419
4,daily_return_0,35.94
5,log_return_0,42.603
6,volume_change_0,36.074
7,relative_volume_0,23.068
8,high_low_range_0,23.52
9,excess_return_0,35.974
10,daily_return_zscore_0,35.993
11,log_return_zscore_0,36.244
12,volume_change_zscore_0,41.976
13,relative_volume_zscore_0,23.745
14,log_volume_0,42.633
15,Close_1,23.807
16,High_1,23.945
17,Low_1,23.296
18,Open_1,35.701
19,Volume_1,100.333
20,daily_return_1,23.941
21,log_return_1,23.527
22,volume_change_1,36.16
23,relative_volume_1,23.497
24,high_low_range_1,24.224
25,excess_return_1,42.685
26,daily_return_zscore_1,23.829
27,log_return_zscore_1,43.846
28,volume_change_zscore_1,43.793
29,relative_volume_zscore_1,43.406
30,log_volume_1,23.918
31,Close_2,24.134
32,High_2,36.257
33,Low_2,24.065
34,Open_2,22.978
35,Volume_2,99.665
36,daily_return_2,23.741
37,log_return_2,35.505
38,volume_change_2,35.846
39,relative_volume_2,36.112
40,high_low_range_2,23.929
41,excess_return_2,24.059
42,daily_return_zscore_2,23.802
43,log_return_zscore_2,23.223
44,volume_change_zscore_2,43.404
45,relative_volume_zscore_2,23.958
46,log_volume_2,36.35
