feature_index,feature_name,importance_score
0,High_0,23.327
1,Low_0,35.899
2,Open_0,23.686
3,Volume_0,49.671
4,daily_return_0,23.598
5,log_return_0,36.08
6,volume_change_0,23.406
7,relative_volume_0,35.458
8,high_low_range_0,35.758
9,excess_return_0,35.606
10,daily_return_zscore_0,41.982
11,log_return_zscore_0,23.158
12,volume_change_zscore_0,23.536
13,relative_volume_zscore_0,35.759
14,log_volume_0,23.578
15,Close_1,35.593
16,High_1,42.067
17,Low_1,45.924
18,Open_1,23.322
19,Volume_1,70.075
20,daily_return_1,22.91
21,log_return_1,23.883
22,volume_change_1,23.681
23,relative_volume_1,42.047
24,high_low_range_1,22.209
25,excess_return_1,35.882
26,daily_return_zscore_1,23.491
27,log_return_zscore_1,35.524
28,volume_change_zscore_1,35.935
29,relative_volume_zscore_1,23.044
30,log_volume_1,35.391
31,Close_2,23.365
32,High_2,46.151
33,Low_2,23.633
34,Open_2,23.651
35,Volume_2,70.108
36,daily_return_2,35.951
37,log_return_2,23.502
38,volume_change_2,42.188
39,relative_volume_2,23.309
40,high_low_range_2,23.205
41,excess_return_2,23.675
42,daily_return_zscore_2,23.536
43,log_return_zscore_2,41.757
44,volume_change_zscore_2,23.822
45,relative_volume_zscore_2,42.111
46,log_volume_2,23.614
