feature_index,feature_name,importance_score
0,High_0,35.799
1,Low_0,24.074
2,Open_0,24.162
3,Volume_0,49.419
4,daily_return_0,36.044
5,log_return_0,23.879
6,volume_change_0,35.897
7,relative_volume_0,23.383
8,high_low_range_0,23.649
9,excess_return_0,23.985
10,daily_return_zscore_0,23.933
11,log_return_zscore_0,23.945
12,volume_change_zscore_0,23.97
13,relative_volume_zscore_0,35.923
14,log_volume_0,23.929
15,Close_1,23.751
16,High_1,23.68
17,Low_1,35.977
18,Open_1,23.673
19,Volume_1,69.803
20,daily_return_1,35.955
21,log_return_1,42.47
22,volume_change_1,35.841
23,relative_volume_1,23.86
24,high_low_range_1,23.981
25,excess_return_1,23.759
26,daily_return_zscore_1,43.519
27,log_return_zscore_1,23.646
28,volume_change_zscore_1,23.609
29,relative_volume_zscore_1,24.08
30,log_volume_1,45.588
31,Close_2,41.713
32,High_2,36.231
33,Low_2,23.244
34,Open_2,23.331
35,Volume_2,75.388
36,daily_return_2,23.987
37,log_return_2,42.879
38,volume_change_2,36.207
39,relative_volume_2,43.448
40,high_low_range_2,36.11
41,excess_return_2,23.997
42,daily_return_zscore_2,36.361
43,log_return_zscore_2,45.294
44,volume_change_zscore_2,47.892
45,relative_volume_zscore_2,35.928
46,log_volume_2,23.946
