feature_index,feature_name,importance_score
0,high_std_0,17.569
1,low_std_0,17.139
2,close_std_0,17.55
3,daily_return_std_0,19.087
4,log_return_std_0,20.798
5,volume_change_std_0,19.21
6,relative_volume_std_0,18.217
7,log_volume_0,19.526
8,high_low_range_std_0,31.346
9,excess_return_std_0,29.408
10,open_std_1,17.614
11,high_std_1,18.457
12,low_std_1,18.716
13,close_std_1,19.039
14,daily_return_std_1,44.504
15,log_return_std_1,43.936
16,volume_change_std_1,48.43
17,relative_volume_std_1,48.474
18,log_volume_1,19.6
19,high_low_range_std_1,32.551
20,excess_return_std_1,44.33
21,open_std_2,18.879
22,high_std_2,19.682
23,low_std_2,19.365
24,close_std_2,51.143
25,daily_return_std_2,29.967
26,log_return_std_2,48.866
27,volume_change_std_2,72.147
28,relative_volume_std_2,48.181
29,log_volume_2,31.909
30,high_low_range_std_2,26.903
31,excess_return_std_2,42.979
