feature_index,feature_name,importance_score
0,high_std_0,53.101
1,low_std_0,134.043
2,close_std_0,181.793
3,daily_return_std_0,20.358
4,log_return_std_0,19.835
5,volume_change_std_0,18.347
6,relative_volume_std_0,18.811
7,log_volume_0,18.261
8,high_low_range_std_0,21.512
9,excess_return_std_0,18.068
10,open_std_1,136.625
11,high_std_1,98.084
12,low_std_1,98.083
13,close_std_1,160.505
14,daily_return_std_1,195.361
15,log_return_std_1,194.536
16,volume_change_std_1,20.336
17,relative_volume_std_1,22.34
18,log_volume_1,33.397
19,high_low_range_std_1,21.843
20,excess_return_std_1,21.305
21,open_std_2,34.05
22,high_std_2,43.136
23,low_std_2,376.237
24,close_std_2,329.753
25,daily_return_std_2,19.694
26,log_return_std_2,18.896
27,volume_change_std_2,23.214
28,relative_volume_std_2,18.688
29,log_volume_2,38.472
30,high_low_range_std_2,32.749
31,excess_return_std_2,19.216
