feature_index,feature_name,importance_score
0,high_std_0,68.193
1,low_std_0,21.198
2,close_std_0,46.775
3,daily_return_std_0,19.949
4,log_return_std_0,19.845
5,volume_change_std_0,58.173
6,relative_volume_std_0,121.961
7,log_volume_0,31.112
8,high_low_range_std_0,31.404
9,excess_return_std_0,19.776
10,open_std_1,46.773
11,high_std_1,47.259
12,low_std_1,42.545
13,close_std_1,19.873
14,daily_return_std_1,20.576
15,log_return_std_1,20.375
16,volume_change_std_1,18.549
17,relative_volume_std_1,44.523
18,log_volume_1,19.593
19,high_low_range_std_1,21.175
20,excess_return_std_1,19.755
21,open_std_2,20.346
22,high_std_2,30.494
23,low_std_2,20.774
24,close_std_2,36.876
25,daily_return_std_2,20.144
26,log_return_std_2,19.504
27,volume_change_std_2,30.836
28,relative_volume_std_2,33.03
29,log_volume_2,18.866
30,high_low_range_std_2,28.768
31,excess_return_std_2,40.711
