feature_index,feature_name,importance_score
0,high_std_0,32.997
1,low_std_0,35.394
2,close_std_0,21.118
3,daily_return_std_0,18.397
4,log_return_std_0,18.008
5,volume_change_std_0,19.667
6,relative_volume_std_0,46.117
7,log_volume_0,18.832
8,high_low_range_std_0,18.475
9,excess_return_std_0,20.763
10,open_std_1,31.617
11,high_std_1,32.218
12,low_std_1,34.125
13,close_std_1,34.582
14,daily_return_std_1,21.05
15,log_return_std_1,21.923
16,volume_change_std_1,83.831
17,relative_volume_std_1,42.923
18,log_volume_1,58.687
19,high_low_range_std_1,52.349
20,excess_return_std_1,67.453
21,open_std_2,32.417
22,high_std_2,18.247
23,low_std_2,20.589
24,close_std_2,19.917
25,daily_return_std_2,21.21
26,log_return_std_2,23.163
27,volume_change_std_2,130.25
28,relative_volume_std_2,19.01
29,log_volume_2,22.019
30,high_low_range_std_2,34.721
31,excess_return_std_2,75.786
