feature_index,feature_name,importance_score
0,High_0,24.047
1,Low_0,23.654
2,Open_0,36.162
3,Volume_0,51.7
4,daily_return_0,42.407
5,log_return_0,23.864
6,volume_change_0,42.525
7,relative_volume_0,42.684
8,high_low_range_0,36.161
9,excess_return_0,23.642
10,daily_return_zscore_0,42.005
11,log_return_zscore_0,24.294
12,volume_change_zscore_0,36.179
13,relative_volume_zscore_0,23.928
14,log_volume_0,23.674
15,Close_1,23.64
16,High_1,24.092
17,Low_1,23.709
18,Open_1,24.278
19,Volume_1,57.799
20,daily_return_1,23.749
21,log_return_1,36.189
22,volume_change_1,23.703
23,relative_volume_1,23.906
24,high_low_range_1,35.983
25,excess_return_1,23.277
26,daily_return_zscore_1,24.13
27,log_return_zscore_1,36.245
28,volume_change_zscore_1,42.764
29,relative_volume_zscore_1,23.955
30,log_volume_1,35.884
31,Close_2,23.933
32,High_2,23.718
33,Low_2,23.712
34,Open_2,36.07
35,Volume_2,60.872
36,daily_return_2,42.593
37,log_return_2,23.76
38,volume_change_2,42.893
39,relative_volume_2,24.016
40,high_low_range_2,35.876
41,excess_return_2,35.711
42,daily_return_zscore_2,23.632
43,log_return_zscore_2,23.387
44,volume_change_zscore_2,42.698
45,relative_volume_zscore_2,36.195
46,log_volume_2,35.832
