feature_index,feature_name,importance_score
0,High_0,23.77
1,Low_0,23.376
2,Open_0,23.829
3,Volume_0,52.888
4,daily_return_0,35.587
5,log_return_0,23.358
6,volume_change_0,23.411
7,relative_volume_0,23.614
8,high_low_range_0,35.596
9,excess_return_0,23.839
10,daily_return_zscore_0,23.402
11,log_return_zscore_0,42.521
12,volume_change_zscore_0,23.477
13,relative_volume_zscore_0,35.741
14,log_volume_0,55.854
15,Close_1,36.101
16,High_1,23.661
17,Low_1,35.905
18,Open_1,23.225
19,Volume_1,44.473
20,daily_return_1,35.864
21,log_return_1,35.298
22,volume_change_1,23.82
23,relative_volume_1,35.823
24,high_low_range_1,35.871
25,excess_return_1,23.583
26,daily_return_zscore_1,23.751
27,log_return_zscore_1,42.346
28,volume_change_zscore_1,35.941
29,relative_volume_zscore_1,23.813
30,log_volume_1,53.293
31,Close_2,22.925
32,High_2,23.926
33,Low_2,23.801
34,Open_2,23.064
35,Volume_2,57.314
36,daily_return_2,23.704
37,log_return_2,23.623
38,volume_change_2,51.079
39,relative_volume_2,42.92
40,high_low_range_2,23.509
41,excess_return_2,41.672
42,daily_return_zscore_2,35.824
43,log_return_zscore_2,23.543
44,volume_change_zscore_2,57.73
45,relative_volume_zscore_2,35.94
46,log_volume_2,23.924
