feature_index,feature_name,importance_score
0,High_0,23.45
1,Low_0,36.022
2,Open_0,23.812
3,Volume_0,627.993
4,daily_return_0,23.686
5,log_return_0,35.753
6,volume_change_0,24.08
7,relative_volume_0,23.857
8,high_low_range_0,22.912
9,excess_return_0,36.009
10,daily_return_zscore_0,42.809
11,log_return_zscore_0,42.383
12,volume_change_zscore_0,35.973
13,relative_volume_zscore_0,42.292
14,log_volume_0,36.006
15,Close_1,35.931
16,High_1,35.818
17,Low_1,42.396
18,Open_1,23.268
19,Volume_1,46.891
20,daily_return_1,35.468
21,log_return_1,35.601
22,volume_change_1,24.084
23,relative_volume_1,23.572
24,high_low_range_1,23.744
25,excess_return_1,42.434
26,daily_return_zscore_1,23.53
27,log_return_zscore_1,42.446
28,volume_change_zscore_1,22.866
29,relative_volume_zscore_1,23.551
30,log_volume_1,23.121
31,Close_2,23.826
32,High_2,23.176
33,Low_2,24.047
34,Open_2,23.475
35,Volume_2,632.333
36,daily_return_2,23.401
37,log_return_2,23.667
38,volume_change_2,23.791
39,relative_volume_2,24.058
40,high_low_range_2,23.287
41,excess_return_2,35.816
42,daily_return_zscore_2,23.033
43,log_return_zscore_2,41.774
44,volume_change_zscore_2,35.549
45,relative_volume_zscore_2,35.936
46,log_volume_2,42.333
