feature_index,feature_name,importance_score
0,High_0,35.509
1,Low_0,24.104
2,Open_0,22.902
3,Volume_0,42.039
4,daily_return_0,35.878
5,log_return_0,23.878
6,volume_change_0,23.32
7,relative_volume_0,23.533
8,high_low_range_0,23.377
9,excess_return_0,35.931
10,daily_return_zscore_0,24.083
11,log_return_zscore_0,51.236
12,volume_change_zscore_0,46.884
13,relative_volume_zscore_0,36.019
14,log_volume_0,23.723
15,Close_1,35.687
16,High_1,35.912
17,Low_1,23.773
18,Open_1,23.574
19,Volume_1,53.331
20,daily_return_1,24.196
21,log_return_1,23.359
22,volume_change_1,24.066
23,relative_volume_1,22.993
24,high_low_range_1,24.04
25,excess_return_1,35.449
26,daily_return_zscore_1,24.106
27,log_return_zscore_1,23.537
28,volume_change_zscore_1,23.445
29,relative_volume_zscore_1,78.893
30,log_volume_1,36.229
31,Close_2,35.974
32,High_2,24.193
33,Low_2,23.258
34,Open_2,23.851
35,Volume_2,55.986
36,daily_return_2,23.715
37,log_return_2,35.807
38,volume_change_2,35.996
39,relative_volume_2,49.872
40,high_low_range_2,23.373
41,excess_return_2,36.105
42,daily_return_zscore_2,43.67
43,log_return_zscore_2,23.214
44,volume_change_zscore_2,47.104
45,relative_volume_zscore_2,72.253
46,log_volume_2,43.609
