feature_index,feature_name,importance_score
0,High_0,23.673
1,Low_0,42.39
2,Open_0,23.81
3,Volume_0,254.48
4,daily_return_0,23.812
5,log_return_0,42.171
6,volume_change_0,35.691
7,relative_volume_0,23.771
8,high_low_range_0,23.733
9,excess_return_0,23.305
10,daily_return_zscore_0,23.765
11,log_return_zscore_0,41.71
12,volume_change_zscore_0,23.565
13,relative_volume_zscore_0,35.589
14,log_volume_0,23.575
15,Close_1,23.216
16,High_1,35.615
17,Low_1,35.795
18,Open_1,23.676
19,Volume_1,259.209
20,daily_return_1,23.653
21,log_return_1,23.574
22,volume_change_1,23.453
23,relative_volume_1,23.428
24,high_low_range_1,35.606
25,excess_return_1,42.616
26,daily_return_zscore_1,23.786
27,log_return_zscore_1,23.728
28,volume_change_zscore_1,35.806
29,relative_volume_zscore_1,42.539
30,log_volume_1,42.286
31,Close_2,35.849
32,High_2,35.62
33,Low_2,42.362
34,Open_2,23.205
35,Volume_2,43.816
36,daily_return_2,35.812
37,log_return_2,35.642
38,volume_change_2,23.349
39,relative_volume_2,35.45
40,high_low_range_2,35.688
41,excess_return_2,42.448
42,daily_return_zscore_2,23.472
43,log_return_zscore_2,23.804
44,volume_change_zscore_2,23.444
45,relative_volume_zscore_2,23.789
46,log_volume_2,23.475
