feature_index,feature_name,importance_score
0,High_0,35.536
1,Low_0,35.758
2,Open_0,23.496
3,Volume_0,99.043
4,daily_return_0,35.832
5,log_return_0,23.317
6,volume_change_0,35.808
7,relative_volume_0,23.807
8,high_low_range_0,41.956
9,excess_return_0,23.836
10,daily_return_zscore_0,42.411
11,log_return_zscore_0,35.537
12,volume_change_zscore_0,35.837
13,relative_volume_zscore_0,43.05
14,log_volume_0,23.939
15,Close_1,42.209
16,High_1,23.491
17,Low_1,23.959
18,Open_1,23.451
19,Volume_1,47.042
20,daily_return_1,42.311
21,log_return_1,35.951
22,volume_change_1,35.898
23,relative_volume_1,23.917
24,high_low_range_1,23.624
25,excess_return_1,35.827
26,daily_return_zscore_1,42.686
27,log_return_zscore_1,23.588
28,volume_change_zscore_1,23.767
29,relative_volume_zscore_1,42.842
30,log_volume_1,42.376
31,Close_2,23.861
32,High_2,23.717
33,Low_2,23.932
34,Open_2,35.734
35,Volume_2,93.813
36,daily_return_2,23.04
37,log_return_2,23.406
38,volume_change_2,23.478
39,relative_volume_2,35.499
40,high_low_range_2,23.615
41,excess_return_2,23.629
42,daily_return_zscore_2,35.744
43,log_return_zscore_2,23.259
44,volume_change_zscore_2,23.738
45,relative_volume_zscore_2,23.601
46,log_volume_2,23.235
