feature_index,feature_name,importance_score
0,feature_1,23.419
1,feature_2,36.139
2,feature_3,23.183
3,feature_4,45.631
4,feature_5,35.591
5,feature_6,23.574
6,feature_7,23.721
7,feature_8,36.141
8,feature_9,35.473
9,feature_10,23.504
10,feature_11,44.477
11,feature_12,43.403
12,feature_13,42.221
13,feature_14,23.645
14,feature_15,42.854
15,feature_16,23.072
16,feature_17,23.719
17,feature_18,23.28
18,feature_19,35.495
19,feature_20,53.677
20,feature_21,23.814
21,feature_22,35.859
22,feature_23,36.735
23,feature_24,46.504
24,feature_25,23.701
25,feature_26,23.852
26,feature_27,23.693
27,feature_28,36.464
28,feature_29,23.672
29,feature_30,23.619
30,feature_31,44.434
31,feature_32,23.505
32,feature_33,35.602
33,feature_34,23.492
34,feature_35,23.781
35,feature_36,49.474
36,feature_37,36.052
37,feature_38,23.364
38,feature_39,23.759
39,feature_40,23.681
40,feature_41,23.108
41,feature_42,36.01
42,feature_43,43.839
43,feature_44,43.636
44,feature_45,23.388
45,feature_46,36.03
46,feature_47,23.485
