feature_index,feature_name,importance_score
0,High_0,22.334
1,Low_0,23.627
2,Open_0,23.698
3,Volume_0,42.624
4,daily_return_0,35.391
5,log_return_0,35.319
6,volume_change_0,35.431
7,relative_volume_0,23.166
8,high_low_range_0,23.456
9,excess_return_0,23.233
10,daily_return_zscore_0,22.393
11,log_return_zscore_0,23.736
12,volume_change_zscore_0,35.907
13,relative_volume_zscore_0,23.323
14,log_volume_0,22.579
15,Close_1,35.507
16,High_1,23.257
17,Low_1,35.423
18,Open_1,35.38
19,Volume_1,36.14
20,daily_return_1,22.99
21,log_return_1,23.262
22,volume_change_1,48.804
23,relative_volume_1,54.367
24,high_low_range_1,22.957
25,excess_return_1,23.536
26,daily_return_zscore_1,22.878
27,log_return_zscore_1,36.119
28,volume_change_zscore_1,89.889
29,relative_volume_zscore_1,101.793
30,log_volume_1,35.528
31,Close_2,23.689
32,High_2,23.615
33,Low_2,23.586
34,Open_2,35.43
35,Volume_2,47.17
36,daily_return_2,41.684
37,log_return_2,23.63
38,volume_change_2,65.706
39,relative_volume_2,23.004
40,high_low_range_2,35.435
41,excess_return_2,23.518
42,daily_return_zscore_2,23.607
43,log_return_zscore_2,45.468
44,volume_change_zscore_2,144.729
45,relative_volume_zscore_2,44.05
46,log_volume_2,22.608
