feature_index,feature_name,importance_score
0,High_0,23.958
1,Low_0,35.849
2,Open_0,23.878
3,Volume_0,728.844
4,daily_return_0,22.821
5,log_return_0,23.423
6,volume_change_0,23.828
7,relative_volume_0,35.619
8,high_low_range_0,23.143
9,excess_return_0,36.111
10,daily_return_zscore_0,42.36
11,log_return_zscore_0,23.598
12,volume_change_zscore_0,35.815
13,relative_volume_zscore_0,42.392
14,log_volume_0,24.001
15,Close_1,23.861
16,High_1,23.751
17,Low_1,23.716
18,Open_1,23.892
19,Volume_1,65.467
20,daily_return_1,35.987
21,log_return_1,35.618
22,volume_change_1,42.443
23,relative_volume_1,23.032
24,high_low_range_1,36.038
25,excess_return_1,23.24
26,daily_return_zscore_1,36.099
27,log_return_zscore_1,35.986
28,volume_change_zscore_1,42.355
29,relative_volume_zscore_1,41.703
30,log_volume_1,35.731
31,Close_2,23.571
32,High_2,23.667
33,Low_2,23.668
34,Open_2,42.56
35,Volume_2,705.027
36,daily_return_2,24.047
37,log_return_2,23.144
38,volume_change_2,23.644
39,relative_volume_2,35.985
40,high_low_range_2,23.21
41,excess_return_2,23.203
42,daily_return_zscore_2,23.269
43,log_return_zscore_2,35.973
44,volume_change_zscore_2,42.34
45,relative_volume_zscore_2,42.345
46,log_volume_2,24.02
