feature_index,feature_name,importance_score
0,High_0,23.08
1,Low_0,35.75
2,Open_0,35.906
3,Volume_0,47.5
4,daily_return_0,23.897
5,log_return_0,35.586
6,volume_change_0,23.665
7,relative_volume_0,35.689
8,high_low_range_0,23.743
9,excess_return_0,35.685
10,daily_return_zscore_0,35.826
11,log_return_zscore_0,23.263
12,volume_change_zscore_0,23.678
13,relative_volume_zscore_0,23.614
14,log_volume_0,35.704
15,Close_1,23.211
16,High_1,42.241
17,Low_1,23.614
18,Open_1,42.167
19,Volume_1,42.522
20,daily_return_1,35.66
21,log_return_1,23.114
22,volume_change_1,22.972
23,relative_volume_1,23.552
24,high_low_range_1,23.242
25,excess_return_1,23.039
26,daily_return_zscore_1,23.011
27,log_return_zscore_1,35.908
28,volume_change_zscore_1,41.551
29,relative_volume_zscore_1,23.755
30,log_volume_1,23.955
31,Close_2,23.437
32,High_2,23.827
33,Low_2,42.476
34,Open_2,22.992
35,Volume_2,52.041
36,daily_return_2,23.7
37,log_return_2,23.702
38,volume_change_2,22.894
39,relative_volume_2,35.796
40,high_low_range_2,23.403
41,excess_return_2,42.095
42,daily_return_zscore_2,42.269
43,log_return_zscore_2,42.205
44,volume_change_zscore_2,35.925
45,relative_volume_zscore_2,42.283
46,log_volume_2,35.879
