feature_index,feature_name,importance_score
0,High_0,48.225
1,Low_0,50.598
2,Open_0,36.444
3,Volume_0,44.798
4,daily_return_0,24.08
5,log_return_0,23.715
6,volume_change_0,23.593
7,relative_volume_0,24.069
8,high_low_range_0,23.604
9,excess_return_0,23.839
10,daily_return_zscore_0,23.696
11,log_return_zscore_0,37.739
12,volume_change_zscore_0,42.715
13,relative_volume_zscore_0,37.511
14,log_volume_0,24.3
15,Close_1,35.987
16,High_1,51.174
17,Low_1,48.121
18,Open_1,24.279
19,Volume_1,49.533
20,daily_return_1,23.81
21,log_return_1,24.075
22,volume_change_1,24.423
23,relative_volume_1,36.185
24,high_low_range_1,23.707
25,excess_return_1,23.986
26,daily_return_zscore_1,54.469
27,log_return_zscore_1,48.509
28,volume_change_zscore_1,61.107
29,relative_volume_zscore_1,36.644
30,log_volume_1,35.925
31,Close_2,37.076
32,High_2,23.789
33,Low_2,23.443
34,Open_2,36.126
35,Volume_2,44.344
36,daily_return_2,23.342
37,log_return_2,23.885
38,volume_change_2,24.297
39,relative_volume_2,23.989
40,high_low_range_2,23.087
41,excess_return_2,23.966
42,daily_return_zscore_2,37.537
43,log_return_zscore_2,23.787
44,volume_change_zscore_2,36.097
45,relative_volume_zscore_2,36.116
46,log_volume_2,24.539
