feature_index,feature_name,importance_score
0,high_std_0,31.255
1,low_std_0,21.172
2,close_std_0,96.144
3,daily_return_std_0,69.626
4,log_return_std_0,25.3
5,volume_change_std_0,21.038
6,relative_volume_std_0,24.009
7,log_volume_0,18.398
8,high_low_range_std_0,19.897
9,excess_return_std_0,20.076
10,open_std_1,19.476
11,high_std_1,59.495
12,low_std_1,98.245
13,close_std_1,91.285
14,daily_return_std_1,40.21
15,log_return_std_1,46.991
16,volume_change_std_1,21.908
17,relative_volume_std_1,45.545
18,log_volume_1,21.504
19,high_low_range_std_1,21.559
20,excess_return_std_1,31.456
21,open_std_2,36.223
22,high_std_2,35.035
23,low_std_2,21.193
24,close_std_2,155.918
25,daily_return_std_2,63.522
26,log_return_std_2,41.322
27,volume_change_std_2,18.361
28,relative_volume_std_2,18.841
29,log_volume_2,19.406
30,high_low_range_std_2,22.929
31,excess_return_std_2,39.484
