feature_index,feature_name,importance_score
0,high_std_0,19.328
1,low_std_0,21.857
2,close_std_0,21.205
3,daily_return_std_0,19.374
4,log_return_std_0,18.54
5,volume_change_std_0,43.249
6,relative_volume_std_0,63.252
7,log_volume_0,19.956
8,high_low_range_std_0,38.405
9,excess_return_std_0,18.082
10,open_std_1,55.235
11,high_std_1,68.099
12,low_std_1,91.597
13,close_std_1,177.263
14,daily_return_std_1,32.287
15,log_return_std_1,21.747
16,volume_change_std_1,56.429
17,relative_volume_std_1,21.067
18,log_volume_1,22.822
19,high_low_range_std_1,30.679
20,excess_return_std_1,30.819
21,open_std_2,110.893
22,high_std_2,272.64
23,low_std_2,109.758
24,close_std_2,231.947
25,daily_return_std_2,22.574
26,log_return_std_2,19.507
27,volume_change_std_2,18.864
28,relative_volume_std_2,19.024
29,log_volume_2,20.847
30,high_low_range_std_2,34.328
31,excess_return_std_2,18.864
