feature_index,feature_name,importance_score
0,high_std_0,19.984
1,low_std_0,22.491
2,close_std_0,59.621
3,daily_return_std_0,49.246
4,log_return_std_0,36.209
5,volume_change_std_0,21.442
6,relative_volume_std_0,22.821
7,log_volume_0,17.708
8,high_low_range_std_0,63.133
9,excess_return_std_0,47.829
10,open_std_1,24.814
11,high_std_1,24.612
12,low_std_1,20.777
13,close_std_1,93.761
14,daily_return_std_1,21.079
15,log_return_std_1,20.325
16,volume_change_std_1,21.307
17,relative_volume_std_1,35.02
18,log_volume_1,17.709
19,high_low_range_std_1,35.289
20,excess_return_std_1,38.993
21,open_std_2,71.882
22,high_std_2,175.612
23,low_std_2,24.911
24,close_std_2,41.417
25,daily_return_std_2,21.601
26,log_return_std_2,21.838
27,volume_change_std_2,33.824
28,relative_volume_std_2,49.903
29,log_volume_2,18.79
30,high_low_range_std_2,35.018
31,excess_return_std_2,31.544
