feature_index,feature_name,importance_score
0,High_0,42.27
1,Low_0,23.564
2,Open_0,35.738
3,Volume_0,51.06
4,daily_return_0,23.618
5,log_return_0,35.547
6,volume_change_0,35.628
7,relative_volume_0,23.129
8,high_low_range_0,23.639
9,excess_return_0,35.499
10,daily_return_zscore_0,23.681
11,log_return_zscore_0,35.514
12,volume_change_zscore_0,22.324
13,relative_volume_zscore_0,42.283
14,log_volume_0,23.215
15,Close_1,23.79
16,High_1,35.725
17,Low_1,23.768
18,Open_1,35.752
19,Volume_1,54.059
20,daily_return_1,23.711
21,log_return_1,23.389
22,volume_change_1,42.29
23,relative_volume_1,23.498
24,high_low_range_1,42.153
25,excess_return_1,23.804
26,daily_return_zscore_1,23.224
27,log_return_zscore_1,35.605
28,volume_change_zscore_1,42.382
29,relative_volume_zscore_1,23.714
30,log_volume_1,42.376
31,Close_2,23.716
32,High_2,23.04
33,Low_2,23.253
34,Open_2,23.342
35,Volume_2,44.577
36,daily_return_2,23.505
37,log_return_2,23.582
38,volume_change_2,35.73
39,relative_volume_2,35.508
40,high_low_range_2,35.749
41,excess_return_2,35.739
42,daily_return_zscore_2,23.662
43,log_return_zscore_2,23.517
44,volume_change_zscore_2,23.46
45,relative_volume_zscore_2,42.005
46,log_volume_2,41.598
