feature_index,feature_name,importance_score
0,High_0,35.753
1,Low_0,23.725
2,Open_0,35.554
3,Volume_0,50.831
4,daily_return_0,23.849
5,log_return_0,35.68
6,volume_change_0,23.821
7,relative_volume_0,22.902
8,high_low_range_0,23.861
9,excess_return_0,35.707
10,daily_return_zscore_0,43.769
11,log_return_zscore_0,23.362
12,volume_change_zscore_0,43.611
13,relative_volume_zscore_0,43.24
14,log_volume_0,35.973
15,Close_1,23.392
16,High_1,23.414
17,Low_1,35.721
18,Open_1,23.817
19,Volume_1,46.595
20,daily_return_1,23.26
21,log_return_1,23.541
22,volume_change_1,23.572
23,relative_volume_1,23.546
24,high_low_range_1,41.695
25,excess_return_1,23.833
26,daily_return_zscore_1,42.675
27,log_return_zscore_1,44.061
28,volume_change_zscore_1,35.766
29,relative_volume_zscore_1,23.218
30,log_volume_1,23.575
31,Close_2,23.701
32,High_2,23.871
33,Low_2,23.865
34,Open_2,35.496
35,Volume_2,44.963
36,daily_return_2,23.618
37,log_return_2,22.614
38,volume_change_2,42.536
39,relative_volume_2,23.515
40,high_low_range_2,35.023
41,excess_return_2,23.02
42,daily_return_zscore_2,35.499
43,log_return_zscore_2,42.308
44,volume_change_zscore_2,35.49
45,relative_volume_zscore_2,23.208
46,log_volume_2,35.945
