feature_index,feature_name,importance_score
0,high_std_0,21.308
1,low_std_0,68.288
2,close_std_0,21.14
3,daily_return_std_0,44.207
4,log_return_std_0,47.265
5,volume_change_std_0,27.495
6,relative_volume_std_0,43.18
7,log_volume_0,17.386
8,high_low_range_std_0,28.409
9,excess_return_std_0,91.698
10,open_std_1,58.371
11,high_std_1,21.615
12,low_std_1,28.94
13,close_std_1,71.632
14,daily_return_std_1,20.306
15,log_return_std_1,21.724
16,volume_change_std_1,20.799
17,relative_volume_std_1,21.126
18,log_volume_1,18.539
19,high_low_range_std_1,20.634
20,excess_return_std_1,31.24
21,open_std_2,20.316
22,high_std_2,21.74
23,low_std_2,52.973
24,close_std_2,41.368
25,daily_return_std_2,20.234
26,log_return_std_2,18.257
27,volume_change_std_2,50.33
28,relative_volume_std_2,32.462
29,log_volume_2,18.948
30,high_low_range_std_2,21.308
31,excess_return_std_2,28.667
