feature_index,feature_name,importance_score
0,high_std_0,56.914
1,low_std_0,70.902
2,close_std_0,56.989
3,daily_return_std_0,19.154
4,log_return_std_0,19.333
5,volume_change_std_0,22.256
6,relative_volume_std_0,21.169
7,log_volume_0,18.754
8,high_low_range_std_0,34.3
9,excess_return_std_0,21.842
10,open_std_1,21.877
11,high_std_1,55.521
12,low_std_1,20.014
13,close_std_1,46.179
14,daily_return_std_1,33.533
15,log_return_std_1,30.664
16,volume_change_std_1,22.315
17,relative_volume_std_1,39.615
18,log_volume_1,19.094
19,high_low_range_std_1,23.912
20,excess_return_std_1,19.058
21,open_std_2,33.688
22,high_std_2,84.743
23,low_std_2,22.282
24,close_std_2,22.674
25,daily_return_std_2,35.012
26,log_return_std_2,68.786
27,volume_change_std_2,52.656
28,relative_volume_std_2,47.544
29,log_volume_2,21.776
30,high_low_range_std_2,36.409
31,excess_return_std_2,24.016
