feature_index,feature_name,importance_score
0,High_0,23.138
1,Low_0,22.901
2,Open_0,35.808
3,Volume_0,45.18
4,daily_return_0,42.188
5,log_return_0,23.765
6,volume_change_0,35.401
7,relative_volume_0,35.583
8,high_low_range_0,22.954
9,excess_return_0,23.399
10,daily_return_zscore_0,35.928
11,log_return_zscore_0,23.746
12,volume_change_zscore_0,35.442
13,relative_volume_zscore_0,41.62
14,log_volume_0,42.543
15,Close_1,23.033
16,High_1,35.831
17,Low_1,23.555
18,Open_1,23.454
19,Volume_1,45.466
20,daily_return_1,23.523
21,log_return_1,23.695
22,volume_change_1,35.47
23,relative_volume_1,23.262
24,high_low_range_1,23.035
25,excess_return_1,35.954
26,daily_return_zscore_1,23.797
27,log_return_zscore_1,36.019
28,volume_change_zscore_1,42.662
29,relative_volume_zscore_1,23.707
30,log_volume_1,47.286
31,Close_2,22.729
32,High_2,35.508
33,Low_2,23.197
34,Open_2,23.117
35,Volume_2,49.442
36,daily_return_2,23.311
37,log_return_2,23.265
38,volume_change_2,35.547
39,relative_volume_2,23.831
40,high_low_range_2,23.387
41,excess_return_2,23.426
42,daily_return_zscore_2,53.569
43,log_return_zscore_2,23.498
44,volume_change_zscore_2,45.373
45,relative_volume_zscore_2,36.029
46,log_volume_2,51.971
