feature_index,feature_name,importance_score
0,High_0,35.717
1,Low_0,35.962
2,Open_0,35.672
3,Volume_0,44.203
4,daily_return_0,42.515
5,log_return_0,23.85
6,volume_change_0,35.629
7,relative_volume_0,23.663
8,high_low_range_0,23.658
9,excess_return_0,23.149
10,daily_return_zscore_0,35.852
11,log_return_zscore_0,23.73
12,volume_change_zscore_0,35.787
13,relative_volume_zscore_0,42.566
14,log_volume_0,24.069
15,Close_1,23.422
16,High_1,23.598
17,Low_1,24.053
18,Open_1,42.515
19,Volume_1,123.07
20,daily_return_1,42.613
21,log_return_1,35.796
22,volume_change_1,35.986
23,relative_volume_1,23.831
24,high_low_range_1,24.103
25,excess_return_1,23.556
26,daily_return_zscore_1,35.796
27,log_return_zscore_1,42.415
28,volume_change_zscore_1,42.281
29,relative_volume_zscore_1,24.066
30,log_volume_1,35.906
31,Close_2,22.981
32,High_2,23.521
33,Low_2,23.261
34,Open_2,23.294
35,Volume_2,124.398
36,daily_return_2,23.931
37,log_return_2,35.786
38,volume_change_2,41.673
39,relative_volume_2,23.969
40,high_low_range_2,22.977
41,excess_return_2,23.886
42,daily_return_zscore_2,42.538
43,log_return_zscore_2,23.902
44,volume_change_zscore_2,35.828
45,relative_volume_zscore_2,23.608
46,log_volume_2,24.044
