feature_index,feature_name,importance_score
0,High_0,42.249
1,Low_0,35.875
2,Open_0,35.519
3,Volume_0,45.383
4,daily_return_0,22.946
5,log_return_0,35.562
6,volume_change_0,23.339
7,relative_volume_0,23.676
8,high_low_range_0,23.441
9,excess_return_0,35.526
10,daily_return_zscore_0,23.669
11,log_return_zscore_0,23.677
12,volume_change_zscore_0,35.678
13,relative_volume_zscore_0,23.454
14,log_volume_0,23.435
15,Close_1,23.509
16,High_1,35.589
17,Low_1,23.009
18,Open_1,23.617
19,Volume_1,42.465
20,daily_return_1,42.339
21,log_return_1,23.453
22,volume_change_1,23.184
23,relative_volume_1,35.472
24,high_low_range_1,22.846
25,excess_return_1,23.493
26,daily_return_zscore_1,42.038
27,log_return_zscore_1,23.385
28,volume_change_zscore_1,35.396
29,relative_volume_zscore_1,23.461
30,log_volume_1,42.36
31,Close_2,23.006
32,High_2,23.404
33,Low_2,35.388
34,Open_2,42.166
35,Volume_2,50.566
36,daily_return_2,42.164
37,log_return_2,35.527
38,volume_change_2,23.674
39,relative_volume_2,35.776
40,high_low_range_2,23.512
41,excess_return_2,42.309
42,daily_return_zscore_2,23.602
43,log_return_zscore_2,23.599
44,volume_change_zscore_2,35.82
45,relative_volume_zscore_2,23.105
46,log_volume_2,41.56
