feature_index,feature_name,importance_score
0,high_std_0,83.837
1,low_std_0,58.325
2,close_std_0,120.702
3,daily_return_std_0,19.394
4,log_return_std_0,20.41
5,volume_change_std_0,20.974
6,relative_volume_std_0,34.245
7,log_volume_0,18.287
8,high_low_range_std_0,24.879
9,excess_return_std_0,20.303
10,open_std_1,177.213
11,high_std_1,53.026
12,low_std_1,24.863
13,close_std_1,62.478
14,daily_return_std_1,35.576
15,log_return_std_1,21.197
16,volume_change_std_1,42.414
17,relative_volume_std_1,37.834
18,log_volume_1,35.95
19,high_low_range_std_1,65.96
20,excess_return_std_1,23.499
21,open_std_2,23.521
22,high_std_2,35.097
23,low_std_2,31.678
24,close_std_2,63.522
25,daily_return_std_2,25.184
26,log_return_std_2,41.816
27,volume_change_std_2,18.681
28,relative_volume_std_2,21.746
29,log_volume_2,19.494
30,high_low_range_std_2,21.714
31,excess_return_std_2,24.815
