feature_index,feature_name,importance_score
0,high_std_0,19.039
1,low_std_0,41.647
2,close_std_0,18.363
3,daily_return_std_0,47.129
4,log_return_std_0,37.918
5,volume_change_std_0,89.698
6,relative_volume_std_0,77.747
7,log_volume_0,19.424
8,high_low_range_std_0,31.29
9,excess_return_std_0,38.903
10,open_std_1,42.642
11,high_std_1,19.012
12,low_std_1,32.968
13,close_std_1,18.403
14,daily_return_std_1,30.422
15,log_return_std_1,20.585
16,volume_change_std_1,19.72
17,relative_volume_std_1,39.165
18,log_volume_1,18.353
19,high_low_range_std_1,30.353
20,excess_return_std_1,28.261
21,open_std_2,19.452
22,high_std_2,18.471
23,low_std_2,18.659
24,close_std_2,18.302
25,daily_return_std_2,41.674
26,log_return_std_2,20.214
27,volume_change_std_2,19.053
28,relative_volume_std_2,18.049
29,log_volume_2,17.275
30,high_low_range_std_2,31.574
31,excess_return_std_2,94.211
