feature_index,feature_name,importance_score
0,high_std_0,35.251
1,low_std_0,67.997
2,close_std_0,31.276
3,daily_return_std_0,33.869
4,log_return_std_0,34.187
5,volume_change_std_0,47.857
6,relative_volume_std_0,32.729
7,log_volume_0,18.574
8,high_low_range_std_0,49.738
9,excess_return_std_0,72.979
10,open_std_1,50.513
11,high_std_1,35.789
12,low_std_1,20.764
13,close_std_1,53.093
14,daily_return_std_1,21.338
15,log_return_std_1,22.204
16,volume_change_std_1,18.529
17,relative_volume_std_1,18.458
18,log_volume_1,17.849
19,high_low_range_std_1,20.701
20,excess_return_std_1,21.058
21,open_std_2,18.625
22,high_std_2,68.555
23,low_std_2,49.042
24,close_std_2,22.188
25,daily_return_std_2,19.498
26,log_return_std_2,18.232
27,volume_change_std_2,20.169
28,relative_volume_std_2,20.657
29,log_volume_2,17.5
30,high_low_range_std_2,41.474
31,excess_return_std_2,38.828
