feature_index,feature_name,importance_score
0,High_0,23.499
1,Low_0,42.001
2,Open_0,41.97
3,Volume_0,42.38
4,daily_return_0,35.368
5,log_return_0,23.164
6,volume_change_0,35.516
7,relative_volume_0,35.487
8,high_low_range_0,23.314
9,excess_return_0,35.003
10,daily_return_zscore_0,23.26
11,log_return_zscore_0,42.061
12,volume_change_zscore_0,35.402
13,relative_volume_zscore_0,23.419
14,log_volume_0,41.988
15,Close_1,35.391
16,High_1,23.449
17,Low_1,41.401
18,Open_1,23.563
19,Volume_1,50.161
20,daily_return_1,23.027
21,log_return_1,22.775
22,volume_change_1,22.832
23,relative_volume_1,35.442
24,high_low_range_1,23.271
25,excess_return_1,22.63
26,daily_return_zscore_1,35.286
27,log_return_zscore_1,23.418
28,volume_change_zscore_1,41.934
29,relative_volume_zscore_1,23.332
30,log_volume_1,35.56
31,Close_2,23.538
32,High_2,23.262
33,Low_2,35.386
34,Open_2,23.113
35,Volume_2,43.524
36,daily_return_2,23.493
37,log_return_2,41.805
38,volume_change_2,23.326
39,relative_volume_2,22.612
40,high_low_range_2,35.144
41,excess_return_2,41.97
42,daily_return_zscore_2,23.313
43,log_return_zscore_2,23.316
44,volume_change_zscore_2,23.326
45,relative_volume_zscore_2,35.514
46,log_volume_2,23.453
