feature_index,feature_name,importance_score
0,High_0,23.865
1,Low_0,42.631
2,Open_0,23.335
3,Volume_0,95.877
4,daily_return_0,24.291
5,log_return_0,23.914
6,volume_change_0,36.032
7,relative_volume_0,42.787
8,high_low_range_0,35.743
9,excess_return_0,24.188
10,daily_return_zscore_0,36.182
11,log_return_zscore_0,43.212
12,volume_change_zscore_0,42.02
13,relative_volume_zscore_0,24.104
14,log_volume_0,42.639
15,Close_1,35.938
16,High_1,23.89
17,Low_1,35.768
18,Open_1,42.859
19,Volume_1,102.572
20,daily_return_1,23.771
21,log_return_1,23.687
22,volume_change_1,36.259
23,relative_volume_1,23.403
24,high_low_range_1,24.217
25,excess_return_1,23.64
26,daily_return_zscore_1,36.145
27,log_return_zscore_1,24.019
28,volume_change_zscore_1,35.929
29,relative_volume_zscore_1,24.13
30,log_volume_1,36.243
31,Close_2,24.084
32,High_2,24.2
33,Low_2,24.081
34,Open_2,23.664
35,Volume_2,110.963
36,daily_return_2,36.164
37,log_return_2,23.672
38,volume_change_2,24.24
39,relative_volume_2,42.698
40,high_low_range_2,24.215
41,excess_return_2,36.178
42,daily_return_zscore_2,43.096
43,log_return_zscore_2,23.113
44,volume_change_zscore_2,23.713
45,relative_volume_zscore_2,24.325
46,log_volume_2,36.254
