feature_index,feature_name,importance_score
0,High_0,36.374
1,Low_0,23.789
2,Open_0,23.262
3,Volume_0,71.605
4,daily_return_0,24.1
5,log_return_0,35.749
6,volume_change_0,36.052
7,relative_volume_0,36.139
8,high_low_range_0,24.297
9,excess_return_0,42.78
10,daily_return_zscore_0,24.001
11,log_return_zscore_0,23.447
12,volume_change_zscore_0,43.063
13,relative_volume_zscore_0,42.626
14,log_volume_0,36.142
15,Close_1,23.69
16,High_1,24.153
17,Low_1,23.8
18,Open_1,23.996
19,Volume_1,73.462
20,daily_return_1,23.644
21,log_return_1,23.847
22,volume_change_1,36.454
23,relative_volume_1,44.802
24,high_low_range_1,22.954
25,excess_return_1,24.175
26,daily_return_zscore_1,24.187
27,log_return_zscore_1,36.366
28,volume_change_zscore_1,41.879
29,relative_volume_zscore_1,43.383
30,log_volume_1,23.848
31,Close_2,24.203
32,High_2,24.153
33,Low_2,23.901
34,Open_2,23.458
35,Volume_2,69.309
36,daily_return_2,36.29
37,log_return_2,23.838
38,volume_change_2,35.895
39,relative_volume_2,24.255
40,high_low_range_2,36.058
41,excess_return_2,36.321
42,daily_return_zscore_2,24.242
43,log_return_zscore_2,42.949
44,volume_change_zscore_2,45.744
45,relative_volume_zscore_2,36.197
46,log_volume_2,23.569
