feature_index,feature_name,importance_score
0,High_0,23.964
1,Low_0,23.609
2,Open_0,23.163
3,Volume_0,44.935
4,daily_return_0,22.956
5,log_return_0,23.794
6,volume_change_0,61.275
7,relative_volume_0,50.181
8,high_low_range_0,22.894
9,excess_return_0,23.634
10,daily_return_zscore_0,36.077
11,log_return_zscore_0,23.045
12,volume_change_zscore_0,54.054
13,relative_volume_zscore_0,35.557
14,log_volume_0,67.133
15,Close_1,35.806
16,High_1,36.099
17,Low_1,22.824
18,Open_1,35.411
19,Volume_1,48.727
20,daily_return_1,36.015
21,log_return_1,23.875
22,volume_change_1,77.618
23,relative_volume_1,23.502
24,high_low_range_1,23.676
25,excess_return_1,23.65
26,daily_return_zscore_1,47.351
27,log_return_zscore_1,35.826
28,volume_change_zscore_1,69.515
29,relative_volume_zscore_1,23.349
30,log_volume_1,44.081
31,Close_2,23.132
32,High_2,36.107
33,Low_2,23.751
34,Open_2,23.391
35,Volume_2,43.972
36,daily_return_2,23.992
37,log_return_2,23.863
38,volume_change_2,35.895
39,relative_volume_2,23.993
40,high_low_range_2,23.002
41,excess_return_2,35.539
42,daily_return_zscore_2,22.814
43,log_return_zscore_2,23.864
44,volume_change_zscore_2,35.498
45,relative_volume_zscore_2,23.144
46,log_volume_2,36.305
