feature_index,feature_name,importance_score
0,High_0,23.436
1,Low_0,23.769
2,Open_0,35.823
3,Volume_0,57.608
4,daily_return_0,42.577
5,log_return_0,23.645
6,volume_change_0,42.533
7,relative_volume_0,41.836
8,high_low_range_0,23.539
9,excess_return_0,23.493
10,daily_return_zscore_0,23.878
11,log_return_zscore_0,23.828
12,volume_change_zscore_0,42.291
13,relative_volume_zscore_0,35.979
14,log_volume_0,23.634
15,Close_1,35.926
16,High_1,23.254
17,Low_1,35.474
18,Open_1,23.684
19,Volume_1,94.684
20,daily_return_1,35.538
21,log_return_1,42.397
22,volume_change_1,35.836
23,relative_volume_1,42.229
24,high_low_range_1,23.619
25,excess_return_1,23.487
26,daily_return_zscore_1,23.452
27,log_return_zscore_1,22.702
28,volume_change_zscore_1,42.323
29,relative_volume_zscore_1,23.624
30,log_volume_1,23.27
31,Close_2,35.944
32,High_2,23.094
33,Low_2,35.39
34,Open_2,23.587
35,Volume_2,84.81
36,daily_return_2,42.371
37,log_return_2,23.764
38,volume_change_2,35.631
39,relative_volume_2,35.958
40,high_low_range_2,23.288
41,excess_return_2,23.832
42,daily_return_zscore_2,23.864
43,log_return_zscore_2,35.706
44,volume_change_zscore_2,23.687
45,relative_volume_zscore_2,35.946
46,log_volume_2,23.328
