feature_index,feature_name,importance_score
0,High_0,22.863
1,Low_0,23.949
2,Open_0,23.936
3,Volume_0,45.869
4,daily_return_0,23.219
5,log_return_0,23.195
6,volume_change_0,36.151
7,relative_volume_0,23.788
8,high_low_range_0,23.349
9,excess_return_0,22.553
10,daily_return_zscore_0,23.527
11,log_return_zscore_0,36.737
12,volume_change_zscore_0,36.069
13,relative_volume_zscore_0,53.873
14,log_volume_0,36.282
15,Close_1,23.811
16,High_1,35.816
17,Low_1,23.321
18,Open_1,35.639
19,Volume_1,52.634
20,daily_return_1,23.396
21,log_return_1,23.301
22,volume_change_1,45.494
23,relative_volume_1,42.742
24,high_low_range_1,35.897
25,excess_return_1,35.408
26,daily_return_zscore_1,23.7
27,log_return_zscore_1,23.7
28,volume_change_zscore_1,53.499
29,relative_volume_zscore_1,53.946
30,log_volume_1,44.882
31,Close_2,23.116
32,High_2,23.689
33,Low_2,23.335
34,Open_2,23.835
35,Volume_2,52.807
36,daily_return_2,23.862
37,log_return_2,35.717
38,volume_change_2,23.888
39,relative_volume_2,36.264
40,high_low_range_2,23.696
41,excess_return_2,36.057
42,daily_return_zscore_2,44.767
43,log_return_zscore_2,23.633
44,volume_change_zscore_2,56.369
45,relative_volume_zscore_2,23.235
46,log_volume_2,36.282
