feature_index,feature_name,importance_score
0,high_std_0,19.518
1,low_std_0,20.151
2,close_std_0,65.183
3,daily_return_std_0,20.349
4,log_return_std_0,21.65
5,volume_change_std_0,18.286
6,relative_volume_std_0,21.137
7,log_volume_0,18.999
8,high_low_range_std_0,53.842
9,excess_return_std_0,19.305
10,open_std_1,30.566
11,high_std_1,22.487
12,low_std_1,19.514
13,close_std_1,19.205
14,daily_return_std_1,36.131
15,log_return_std_1,47.816
16,volume_change_std_1,19.733
17,relative_volume_std_1,20.57
18,log_volume_1,17.823
19,high_low_range_std_1,20.637
20,excess_return_std_1,22.109
21,open_std_2,34.773
22,high_std_2,55.862
23,low_std_2,42.293
24,close_std_2,44.96
25,daily_return_std_2,44.99
26,log_return_std_2,35.534
27,volume_change_std_2,38.895
28,relative_volume_std_2,51.105
29,log_volume_2,29.532
30,high_low_range_std_2,71.025
31,excess_return_std_2,33.203
