feature_index,feature_name,importance_score
0,high_std_0,286.995
1,low_std_0,256.894
2,close_std_0,242.478
3,daily_return_std_0,22.785
4,log_return_std_0,24.687
5,volume_change_std_0,45.131
6,relative_volume_std_0,44.582
7,log_volume_0,20.202
8,high_low_range_std_0,213.013
9,excess_return_std_0,33.344
10,open_std_1,247.577
11,high_std_1,200.284
12,low_std_1,114.855
13,close_std_1,102.656
14,daily_return_std_1,20.929
15,log_return_std_1,18.283
16,volume_change_std_1,32.806
17,relative_volume_std_1,20.504
18,log_volume_1,21.472
19,high_low_range_std_1,22.287
20,excess_return_std_1,20.028
21,open_std_2,116.096
22,high_std_2,39.978
23,low_std_2,93.127
24,close_std_2,32.555
25,daily_return_std_2,18.793
26,log_return_std_2,18.065
27,volume_change_std_2,16.407
28,relative_volume_std_2,18.997
29,log_volume_2,20.038
30,high_low_range_std_2,17.513
31,excess_return_std_2,18.446
