feature_index,feature_name,importance_score
0,High_0,23.693
1,Low_0,34.916
2,Open_0,23.379
3,Volume_0,42.6
4,daily_return_0,23.07
5,log_return_0,35.579
6,volume_change_0,23.366
7,relative_volume_0,23.367
8,high_low_range_0,23.201
9,excess_return_0,35.739
10,daily_return_zscore_0,35.571
11,log_return_zscore_0,42.304
12,volume_change_zscore_0,23.375
13,relative_volume_zscore_0,23.134
14,log_volume_0,42.425
15,Close_1,42.042
16,High_1,23.012
17,Low_1,23.08
18,Open_1,35.562
19,Volume_1,47.126
20,daily_return_1,22.475
21,log_return_1,23.514
22,volume_change_1,41.431
23,relative_volume_1,35.525
24,high_low_range_1,35.358
25,excess_return_1,35.686
26,daily_return_zscore_1,23.626
27,log_return_zscore_1,42.566
28,volume_change_zscore_1,23.619
29,relative_volume_zscore_1,23.299
30,log_volume_1,42.616
31,Close_2,23.598
32,High_2,35.406
33,Low_2,41.985
34,Open_2,23.36
35,Volume_2,47.294
36,daily_return_2,22.529
37,log_return_2,22.991
38,volume_change_2,35.741
39,relative_volume_2,23.404
40,high_low_range_2,35.76
41,excess_return_2,23.637
42,daily_return_zscore_2,22.648
43,log_return_zscore_2,23.261
44,volume_change_zscore_2,23.319
45,relative_volume_zscore_2,35.185
46,log_volume_2,41.829
