feature_index,feature_name,importance_score
0,High_0,23.289
1,Low_0,35.629
2,Open_0,23.425
3,Volume_0,51.341
4,daily_return_0,35.489
5,log_return_0,23.65
6,volume_change_0,23.145
7,relative_volume_0,42.375
8,high_low_range_0,23.2
9,excess_return_0,35.841
10,daily_return_zscore_0,23.055
11,log_return_zscore_0,42.836
12,volume_change_zscore_0,23.572
13,relative_volume_zscore_0,35.209
14,log_volume_0,35.426
15,Close_1,35.482
16,High_1,22.763
17,Low_1,35.714
18,Open_1,35.373
19,Volume_1,46.654
20,daily_return_1,35.567
21,log_return_1,22.604
22,volume_change_1,23.692
23,relative_volume_1,23.082
24,high_low_range_1,42.222
25,excess_return_1,35.641
26,daily_return_zscore_1,23.563
27,log_return_zscore_1,23.565
28,volume_change_zscore_1,42.669
29,relative_volume_zscore_1,23.078
30,log_volume_1,42.954
31,Close_2,35.395
32,High_2,23.574
33,Low_2,35.808
34,Open_2,23.044
35,Volume_2,45.452
36,daily_return_2,23.257
37,log_return_2,23.538
38,volume_change_2,23.445
39,relative_volume_2,23.024
40,high_low_range_2,41.59
41,excess_return_2,23.501
42,daily_return_zscore_2,23.401
43,log_return_zscore_2,42.216
44,volume_change_zscore_2,23.357
45,relative_volume_zscore_2,41.903
46,log_volume_2,23.541
