feature_index,feature_name,importance_score
0,High_0,23.537
1,Low_0,42.265
2,Open_0,23.102
3,Volume_0,64.924
4,daily_return_0,23.806
5,log_return_0,22.879
6,volume_change_0,23.703
7,relative_volume_0,23.298
8,high_low_range_0,35.728
9,excess_return_0,35.759
10,daily_return_zscore_0,23.809
11,log_return_zscore_0,35.661
12,volume_change_zscore_0,23.524
13,relative_volume_zscore_0,23.826
14,log_volume_0,23.52
15,Close_1,35.742
16,High_1,35.689
17,Low_1,23.634
18,Open_1,35.658
19,Volume_1,42.813
20,daily_return_1,23.361
21,log_return_1,23.509
22,volume_change_1,35.361
23,relative_volume_1,42.533
24,high_low_range_1,35.861
25,excess_return_1,23.17
26,daily_return_zscore_1,42.346
27,log_return_zscore_1,42.426
28,volume_change_zscore_1,23.656
29,relative_volume_zscore_1,35.644
30,log_volume_1,35.796
31,Close_2,22.649
32,High_2,41.701
33,Low_2,23.622
34,Open_2,35.441
35,Volume_2,66.263
36,daily_return_2,23.603
37,log_return_2,42.428
38,volume_change_2,23.392
39,relative_volume_2,23.614
40,high_low_range_2,23.659
41,excess_return_2,42.314
42,daily_return_zscore_2,23.827
43,log_return_zscore_2,23.508
44,volume_change_zscore_2,23.602
45,relative_volume_zscore_2,42.121
46,log_volume_2,35.883
