feature_index,feature_name,importance_score
0,High_0,23.557
1,Low_0,22.936
2,Open_0,35.574
3,Volume_0,56.064
4,daily_return_0,23.191
5,log_return_0,23.36
6,volume_change_0,23.612
7,relative_volume_0,23.72
8,high_low_range_0,35.69
9,excess_return_0,23.797
10,daily_return_zscore_0,35.629
11,log_return_zscore_0,42.186
12,volume_change_zscore_0,35.631
13,relative_volume_zscore_0,23.699
14,log_volume_0,42.766
15,Close_1,23.586
16,High_1,23.56
17,Low_1,35.854
18,Open_1,23.211
19,Volume_1,58.739
20,daily_return_1,23.742
21,log_return_1,42.155
22,volume_change_1,23.407
23,relative_volume_1,23.353
24,high_low_range_1,35.875
25,excess_return_1,23.557
26,daily_return_zscore_1,23.756
27,log_return_zscore_1,23.72
28,volume_change_zscore_1,42.295
29,relative_volume_zscore_1,23.364
30,log_volume_1,23.534
31,Close_2,23.316
32,High_2,23.194
33,Low_2,42.469
34,Open_2,23.238
35,Volume_2,46.679
36,daily_return_2,35.652
37,log_return_2,35.494
38,volume_change_2,35.569
39,relative_volume_2,35.681
40,high_low_range_2,35.759
41,excess_return_2,35.542
42,daily_return_zscore_2,41.593
43,log_return_zscore_2,42.147
44,volume_change_zscore_2,23.497
45,relative_volume_zscore_2,42.656
46,log_volume_2,23.567
